Date,Location ,Suspected Cases,Nr. Of New Cases ,Total Confirmed Cases,Source ,Deaths,Recovered,Contacts Under Follow-up,HCW Contacts Under Follow-up,Total Contacts Under Follow-Up,Cumulative Contacts Under Follow-up,Total Suspected Cases,,
27-Feb-20,Ogun,,1,1,https://ncdc.gov.ng/themes/common/files/sitreps/34a2340028bf9a6079f1ec7ff431612b.pdf,0,0,19,5,24,24,,,
27-Feb-20,Lagos,,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/34a2340028bf9a6079f1ec7ff431612b.pdf,0,0,6,0,6,30,,,
01-Mar-20,Ogun,,0,1,https://ncdc.gov.ng/themes/common/files/sitreps/6fff397781387dd2966611edaf776cc4.pdf,0,0,34,5,39,39,,,
01-Mar-20,Lagos,,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/6fff397781387dd2966611edaf776cc4.pdf,0,0,19,0,19,58,,,
02-Mar-20,Ogun,,0,1,https://ncdc.gov.ng/themes/common/files/sitreps/5d83a97c894646068cdcaef38cd4da09.pdf,0,0,35,5,40,40,,,
02-Mar-20,Lagos,,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/5d83a97c894646068cdcaef38cd4da09.pdf,0,0,21,0,21,61,,,
03-Mar-20,Ogun,,0,1,https://ncdc.gov.ng/themes/common/files/sitreps/f2207a3ebbcec6119eb984cd9aa7c071.pdf,0,0,35,5,40,40,,,
03-Mar-20,Lagos,,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/f2207a3ebbcec6119eb984cd9aa7c071.pdf,0,0,21,0,21,61,,,
04-Mar-20,Ogun,,0,1,https://ncdc.gov.ng/themes/common/files/sitreps/2d019348c618bc573fe47c7620e2a99e.pdf,0,0,35,5,40,40,,,
04-Mar-20,Lagos,,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/2d019348c618bc573fe47c7620e2a99e.pdf,0,0,21,0,21,61,,,
05-Mar-20,Ogun,,0,1,https://ncdc.gov.ng/themes/common/files/sitreps/540e5a54315ebcf7e8af59eed183b4bb.pdf,0,0,35,5,40,40,,,
05-Mar-20,Lagos,,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/540e5a54315ebcf7e8af59eed183b4bb.pdf,0,0,21,0,21,61,,,
06-Mar-20,Ogun,3,0,1,https://ncdc.gov.ng/themes/common/files/sitreps/414bfc937b68e6165998afa7a533268e.pdf,0,0,,,,,,,Change of template 
06-Mar-20,Lagos,9,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/414bfc937b68e6165998afa7a533268e.pdf,0,0,,,,,,,
06-Mar-20,FCT,7,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/414bfc937b68e6165998afa7a533268e.pdf,0,0,,,,,,,
06-Mar-20,Kano,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/414bfc937b68e6165998afa7a533268e.pdf,0,0,,,,,,,
06-Mar-20,Edo,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/414bfc937b68e6165998afa7a533268e.pdf,0,0,,,,,,,
07-Mar-20,Ogun,3,0,1,https://ncdc.gov.ng/themes/common/files/sitreps/02ca174a32597a1e20536b86bed723c7.pdf,0,0,,,,,,,
07-Mar-20,Lagos,11,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/02ca174a32597a1e20536b86bed723c7.pdf,0,0,,,,,,,
07-Mar-20,FCT,7,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/02ca174a32597a1e20536b86bed723c7.pdf,0,0,,,,,,,
07-Mar-20,Kano,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/02ca174a32597a1e20536b86bed723c7.pdf,0,0,,,,,,,
07-Mar-20,Edo,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/02ca174a32597a1e20536b86bed723c7.pdf,0,0,,,,,,,
08-Mar-20,Ogun,3,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/2616eead5a41131edfb571638d163c58.pdf,0,0,,,,,,,
